Nr.	Vocabolo inglese	Traduzione	Frase inglese	Traduzione frase
69	make	fare, produrre	That factory makes toys	Quella fabbrica fa giocattoli
70	thing	cosa	Put those things in the closet	Metti quelle cose nel cassetto
71	see	vedere	Come and see my new flat	Vieni a vedere il mio nuovo appartamento
72	him	lui	You are toller then him!	Sei più alto di lui!
73	two	due	They have two children	Hanno due bambini
74	has	ha	She has very long hair	Lei ha dei capelli molto lunghi
75	look	guardare	Don’t look at me that way	Non guardarmi in quel modo
76	more	più	Give me some more sugar	Dammi altro zucchero
77	day	giorno	I’ll stay one day more	Mi fermerò un giorno in più
78	could	passato di can	When she was young she could sky	Quando era giovane sapeva sciare
79	go	andare	Let’s go to the cinema!	Andiamo al cinema, dai!
80	come	venire	Come with me, it’ll be funny	Vieni con me, sarà divertente
81	did	feci, fece, …	What did you do yesterday?	Cosa hai fatto ieri?
82	my	mio	This is my brother	Questo è mio fratello
83	sound	suono	The sound of your guitar is perfect	Il suono della tua chitarra è perfetto
84	no	no	You always say no!	Dici sempre di no!
85	most	più	This is the most difficult moment	Questo è il momento più difficile
86	number	numero	Ask her the telephine number	Chiedile il numero di telefono
87	who	chi	Who are you going to invite?	Chi inviterai?
88	over	su, sopra	There is a picture over the bed	C’è un quadro sopra il letto
89	know	sapere	I know you are a good dancer	So che sei un bravo ballerino
90	water	acqua	Can I have some water?	Posso avere dell’acqua?
91	than	di, che	She is taller than he is	PLei è più alta di lui
92	call	chiamare	Call the vet!	Chiamate il veterinario!
93	first	primo	The school first of all	Prima di tutto la scuola
94	people	gente	The square was crowded with people	La piazza era piena di gente
95	may	potere	May I go to the toilet?	Posso andare in bagno?
96	down	giù	I feel a little down	Mi sento un po’ giù
97	side	lato	Come to this side of the street	Vieni da questa parte della strada
98	been	part. passato di be	I’ve been there many times	Ci sono stato molte volte
99	now	adesso	Tell me right now!	Dimmelo subito!
100	find	trovare	I cannot find my keys	Non riesco a trovare le mie chiavi
101	any	qualunque	I can play any kind of guitar	So suonare qualunque tipo di chitarra
102	new	nuovo	That is my new guitar	Questa è la mia nuova chitarra
103	work	lavoro	I work hard all week long	Lavoro duro tutta la settimana
104	part	parte	I liked the first part of the concert	Mi è piaciuta la prima parte del concerto
105	take	prendere	Take an instrument and play with me	Prendi uno strumento e suona con me
106	get	ottenere	You’ll get great results	Otterrai grandi risultati
107	place	luogo	The garage is the place I use to play	Di solito suono in garage
108	made	passato di make	The children made a lot of noise	I bambini facevano molto rumore
109	live	vivere	I’d like to live in Spain	Mi piacerebbe vivere in Spagna
110	where	dove	Where do your children go tu school?	Dove vanno a scuola i tuoi figli?
111	after	dopo	Let’s meet after the concert	Vediamoci dopo il concerto
112	back	dietro, schiena	My cousin has back problems	Mio cugino ha problemi di schiena
113	little	piccolo	I have three little brothers	Ho tre fratelli più piccoli
114	only	solo	Only one of my brothers goes to school	Solo uno dei miei fratelli va a scuola
115	round	rotondo	Coins are round	Le monete sono rotonde
116	man	uomo	That man invented the coin	Quell’uomo inventò la moneta
117	year	anno	My sister goes on vacation once a year	Mia sorella va in vacanza una volta all’anno
118	came	passato di come	They came on vacation at my place	Vennero in vacanza a casa mia
119	show	mostrare	Show me the video of your vacation	Mostrami il video della tua vacanza
120	every	ogni	Every year there are many car accidents	Ogni anno capitano molti incidenti automobilistici
121	good	bene	He is a good man	E’ un brav’uomo
122	me	mi, me	Jessica is fatter than me	Jessica è più grassa di me
123	give	dare	Don’t give her more food	Non darle altro cibo
124	our	nostro	This is our wedding video	Questo è il video delle nostre nozze
125	under	sotto	The guitar is under the sofa	La chitarra è finita sotto il sofà
126	name	nome	I do not remember your brother’s name	Non ricordo il nome di tuo fratello
127	very	molto	Your new sofa is very nice	Il tuo nuovo sofà è proprio carino
128	through	attraverso	I’d like to pass through the walls	Mi piacerebbe passare attraverso i muri
129	just	solo, appena	Fred just missed the train	Fred ha appena perso il treno
130	form	scheda, modulo	Fill in that form to suscribe	Riempite quel modulo per iscrivervi
131	much	molto	The exam form was so much clear	La scheda d’esame era molto chiara
132	great	ottimo	Fred and Jessica did a great show	Fred e Jessica hanno fatto un grande spettacolo
133	think	pensare	To think causes me headache	Pensare mi provoca il mal di testa
134	say	dire	What were you about to say?	Cosa stavi per dire?
135	help	aiuto	I need my parents’ help!	Ho bisogno dell’aiuto dei miei genitori
136	low	basso	The plane was flying low	L’aereo volava basso
137	line	linea	All along the line	Su tutta la linea
138	before	prima	Listen to me before you say something	Ascolta me prima di dire qualcosa
139	turn	girare	Please turn left	Gira a sinistra per favore
140	cause	causare	You were the cause of my divorce	Hai causato tu il mio divorzio
141	same	stesso	My cousin and my brother go to the same school	Mio cugino e mio fratello frequentano la stessa scuola
142	mean	significare	What does ab illo tempore mean?	Cosa significa ab illo tempore?
143	differ	differire	Your point of view differs from mine	Il tuo punto di vista differisce dal mio
144	move	muovere	Let’s move the wordrobe upstairs	Portiamo l’armadio al piano di sopra
145	right	giusto	We’ll do it at the right moment	Lo faremo al momento giusto
146	boy	ragazzo	Look at that boy, do you know him?	Guarda quel ragazzo, lo conosci?
147	old	vecchio	I want to buy an old bycicle	Voglio comprarmi una vecchia bicicletta
148	too	anche	I like apples, and oranges too	Mi piacciono le mele e anche le arance
149	does	lui, lei fa	She always does the right thing	Lei fa sempre la scelta giusta
150	tell	dire	Don’t tell father I was beeing spoilt	Non dire a papà che ho fatto i capricci
151	sentence	frase	The third sentence has a spelling error	Nella terza frase c’è un errore di ortografia
152	set	stabilire	They want to meet to set the price	Vogliono incontrarsi per stabilire il prezzo
153	three	tre	My cousin has three dogs	Mia cugina ha tre cani
154	want	volere	I want to go to the cinema	Voglio andare al cinema
155	air	aria	Today the air is fresh	Oggi l’aria è fresca
156	well	bene	Things are going well	Le cose stanno andando bene
157	also	anche	Bring the red one also	Porta anche quello rosso
158	play	giocare, suonare	The band plays in a garage	La band suona in un garage
159	small	piccolo	I live in a small village	Vivo in un piccolo paese
160	end	fine	The world is not going to end today	Il mondo non finirà oggi
161	put	mettere	Put the dogs in their fence	Metti i cani nel loro recinto
162	home	casa	John wants to go home	John vuole andare a casa
163	read	leggere	I read the newspaper every day	Leggo il giornale ogni giorno
164	hand	mano	This objects are made by hand	Questi sono oggetti fatti a mano
165	port	porto	Genoa has a beautiful port	Genova ha un bel porto
166	large	grande	They bought a large house	Hanno comprato una casa grande
167	spell	incantesimo, fascino	The spell of the music made us feel good	Il fascino della musica ci ha fatto sentire bene
168	add	aggiungere	Can you add some more sugar in my coffe?	Puoi aggiungermi dello zucchero nel caffè?
169	even	pari, uguale	Odd or even	Pari o dispari
170	land	terra	This land is fertile	Questa terra è fertile
171	here	qui	Here the land is fertile	Qui la terra è fertile
172	must	dovere	You must come to our concert	Devi venire al nostro concerto
173	big	grande	After the concert there will be a big party	Dopo il concerto ci sarà una grande festa
174	high	alto	It is a high tree	E’ un albero alto
175	such	come	I’d like to have a girlfriend such Jessica	Vorrei avere una fidanzata come Jessica
176	follow	seguire	Follow the instruction to get to the concert	Seguite le istruzioni per raggiungere il concerto
177	act	atto	That man is guilty of several violent acts	Quell’uomo è colpevole di diversi atti violenti
178	why	perché	Why this land is so fertile?	Perché questa terra è così fertile?
179	ask	chiedere	Ask Jessica for the tickets	Chiedete a Jessica per i biglietti
180	men	uomini	There are very sed men	Ci sono uomini molto tristi
181	change	cambiare	Can I change my airline ticket?	Posso cambiare il mio biglietto aereo?
182	went	passato di go	We went to the concert by bus	Siamo andati al concerto in autobus
183	light	leggero	I’ll have a light coffe	Prendo un caffè leggero
184	kind	gentile	Your son is always so kind to me!	Tuo figlio è sempre così gentile con me!
185	off	dal, giù, spento	All lights are off	Tutte le luci sono spente
186	need	aver bisogno	I need a strong coffe	Ho bisogno di un caffè forte
187	house	casa	Their new house has two garages	Nella loro casa nuova ci sono due garage
188	picture	fotografia	Let’s take a picture of that wonderful house	Facciamo una foto a quella casa stupenda
189	try	provare	Try to find the tickets for the concert	Prova a cercare i biglietti per il concerto
190	us	noi	Come and have dinner with us	Vieni a cena da noi
191	again	di nuovo	He knocked again at my door	Ha bussato di nuovo alla mia porta
192	animal	animale	I want to full up my house with animals	Voglio riempire la mia casa di animali
193	point	punto	Art what point did you get it?	A che punto te ne sei accorto?
194	mother	madre	My mother used to buy me candies	Mia madre mi comprava sempre caramelle
195	world	mondo	I do not like the world we are living in	Non mi piace il mondo in cui viviamo
196	near	vicino	We live near the hospital	Viviamo vicino all’ospedale
197	build	costruire	It takes a lot of time to build a hospital	Ci vuole parecchio tempo per costruire un ospedale
198	self	sé	He only thinks of self	Pensa solo a se stesso
199	earth	terra	It’s better if you come down-to-earth	E’ meglio se tieni i piedi per terra
200	father	padre	Does your father play soccer?	Tuo padre gioca a calcio?
201	head	testa	What is that on your head?	Cos’hai sulla testa?
202	stand	alzarsi	Stand up and come here	Alzati e vieni qui
203	own	possedere	Do you own a cellphone?	Hai un cellulare?
204	page	pagina	Today I’m going to right the last page of the book	Oggi scriverò l’ultima pagina del libro
205	should	dovere (condizionale)	You shoud go and visit her	Dovresti proprio andare a farle visita
206	country	paese	I love my country	Amo il mio paese
207	found	passato di find	We found a cellphone on the groud	Abbiamo trovato un cellulare per terra
208	answer	risposta	You always have the right answer!	Hai sempre la risposta giusta!
209	school	scuola	My school is not far from here	La mia scuola non è lontana da qui
210	grow	crescere	Sooner or later you will grow	Prima o poi crescerai
211	study	studiare	I’ll stay home to study maths	Starò a casa per studiate matematica
212	still	ancora	Are you still studying maths?	Stai ancora studiando matematica?
213	learn	apprendere	I want to learn as much as I can	Voglio imparare più cose possibile
214	plant	pianta	There is a new plant in the garden	Nel giardino c’è una nuova pianta
215	cover	coprire	Cover the sofa so that it stays clean	Copri il divano così rimane pulito
216	food	cibo	Is there any food in the fridge?	C’è del cibo in frigo?
217	sun	sole	Today the sun is very hot	Oggi il sole è molto caldo
218	four	quattro	Four kids are coming for dinner	Vengono quattro bambini a cena
219	thought	idea, pensiero	Your are not in my thoughts	Non sei nei miei pensieri
220	let	lasciare	Let him go	Lascialo andare
221	keep	tenere	Keep some food for tomorrow	Tieni del cibo per domani
222	eye	occhio	Is there something in my eye?	Ho qualcosa nell’occhio?
223	never	mai	I won’t come to your house never again	Non verrò mai più a casa tua
224	last	ultimo	Did you like the last page of my book?	Ti è piaciuta l’ultima pagina del mio libro?
225	door	porta	Open the door, it’s hot in here!	Apri la porta che qui fa caldo!
226	between	tra	I like to sit between my brothers	Mi piace sedermi in mezzo ai miei fratelli
227	city	città	Which city do you like more?	Qual è la città che ti piace di più?
228	tree	albero	That tree is already blooming	Quell’albero sta già fiorendo
229	cross	croce	I like cross jewels	Mi piacciono i gioielli a croce
230	since	da	Fred lives in LA since 2008	Fred vive a LA dal 2008
231	hard	duro	Sometimes it’s hard to understand you	A volte è difficile capirti
232	start	inizio	When will the meeting start?	Quando inizierà la riunione?
233	might	potere	He asked if he might go to the cinema	Ha chiesto se poteva andare al cinema
234	story	storia	Tell me your story again	Raccontami di nuovo la tua storia
235	saw	passato di see	Yesterday we saw Jessica and Fred together	Ieri abbiamo visto Jessica e Fred insieme
236	far	lontano	Is your school far from here?	La tua scuola è lontana da qui?
237	line	linea	All along the line	Su tutta la linea
238	draw	disegnare	I still draw as when I was a child	Disegno ancora come quando ero bambino
239	left	sinistra	Turn left at the crossing light	Gira a sinistra al semaforo
240	late	tardi	I’m late for my date	Sono in ritardo per il mio appuntamento
241	run	correre	How fast can Fred run?	Fred corre molto veloce?
242	don’t	non fare	Don’t lie again	Non mentire di nuovo
243	while	mentre	Do you listen any music while running?	Ascolti musica mentre corri?
244	press	premere	Press the red botton to start	Premere il tasto rosso per iniziare
245	close	chiudere	Close the door if you don’t want to get a cold	Chiudi la porta non se non vuoi prendere un raffreddore
246	night	notte	I like to walk around at night	Mi piace andare a passeggio di notte
247	real	reale	Jessica doesn’t live in a real world	Jessica non vive nel mondo reale
248	life	vita	I wish you a long life	Ti auguro una lunga vita
249	few	poco, pochi	Wait for a few minutes	Aspetta qualche minuto
250	stop	stop	Please, stop calling me	Per favore, smetti di chiamarmi
251	open	aperto	Is the door still open?	La porta è ancora aperta?
252	seem	sembrare	It seems like we are having guests	Sembra che avremo ospiti
253	together	insieme	Together everything is easier	Insieme tutto è più semplice
254	next	prossimo	Read the next chapter to discover it	Leggi il prossimo capitolo per scoprirlo
255	white	bianco	I want to wear a white dress for your party	Per la tua festa indosserò un abito bianco
256	children	bambini	Children make the house noisy but happy	I bambini rendono la casa rumorosa ma allegra
257	begin	iniziare	The movie begins with a fantastic song	Il film inizia con una splendida canzone
258	got	passato di get	I’ve got it!	Ho capito!
259	walk	camminare	Fred wants to go out and walk on the snow	Fred vuole uscire a camminare sulla neve
260	example	esempio	Try to be a good example for your son	Cerca di essere un buon esempio per tuo figlio
261	ease	alleviare	A massage will ease your pain	Un massaggio allevierà il tuo dolore
262	paper	carta	Is there any paper left in the photocopy machine?	C’è ancora carta nella fotocopiatrice?
263	often	spesso	I often go to the cinema	Vado spesso al cinema
264	always	sempre	She always wants to see the same movie	Vuole sempre vedere lo stesso film
265	music	musica	I love pop music	Adoro la musica pop
266	those	quelli, quelle	Look at those girls, how pretty they are!	Guarda che carine quelle ragazze!
267	both	entrambi, entrambe	I’m angry with both of you	Sono arrabbiata con entrambi
268	mark	segnare	I was marked by that event	Quell’evento mi ha segnato
269	book	libro	I’m reading a really interesting book	Sto leggendo un libro davvero interessante
270	letter	lettera	Nowadays nobody writes letters anymore	Oggi giorno nessuno scrive più lettere
271	until	fino	I usually read until I fall asleep	Di solito leggo fino a quando non mi addormento
272	mile	miglia	That place is miles away from here	Quel posto dista parecchie miglia
273	river	fiume	In Turin we have the Po river	Il fiume di Torino si chiama Po
274	car	macchina	I wish I could by a new car	Vorrei poter comprare una macchina nuova
275	feet	piedi	They are waiting at the feet of the mountain	Loro aspettano ai piedi della montagna
276	care	cura	Take care of your grandmather	Prenditi cura di tua nonna
277	second	secondo	The red one is my second choise	Quella rossa è la mia seconda scelta
278	group	gruppo	The second group can now visit the exhibition	Il secondo gruppo può visitare la mostra
279	carry	portare	Can you carry that table to the other room?	Potete portare quel tavolo nell’altra stanza?
280	took	passato di take	I took the bus in the main square	Ho preso l’autobus nella piazza principale
281	rain	pioggia	I’ll stay home if it’ll rain	Se pioverà starò a casa
282	eat	mangiare	Sometimes I like to eat junkfood	Qualche volta mi piace mangiare schifezze
283	room	stanza	There is no light in this room	In questa stanza non c’è luce
284	friend	amico	Let me introduce my friend Jessica	Lasciate che vi presenti la mia amica Jessica
285	began	passato di begin	Just after I got on the bus it began to rain	E’ iniziato a piovere appena sono salita sull’autobus
286	idea	idea	This is the best idea you had	Questa è la miglior idea che tua abbia avuto
287	fish	pesce	There are a lot of fish in this river	Questo fiume è ricco di pesci
288	mountain	montagna	Fred prefers the sea to the mountain	Fred preferisce il mare alla montagna
289	north	nord	Lions are moving north	I leoni si stanno spostando al nord
290	once	una volta	Once upon a time	C’era una volta
291	base	base	These books are the base of the exam	Questi libri sono alla base dell’esame
292	hear	sentire	Can you hear me properly?	Riuscite a sentirmi bene?
293	horse	cavallo	Horses are good for pet therapy	I cavalli sono ottimi per la pet therapy
294	cut	tagliare	I like your hair, don’t cut it!	Mi piacciono i tuoi capelli, non tagliarli!
295	sure	sicuro	Are you sure about your choice?	Sicuro della tua scelta?
296	watch	orologio	My watch says it is four o’clock	Il mio orologio segna le quattro
297	color	colore	Pink is my favourite color	Il rosa è il mio colore preferito
298	face	faccia	You don’t have a happy face today	Oggi non hai una faccia molto allegra
299	wood	legno	I’m going to build a wood house	Intendo costruirmi una casa in legno
300	main	principale	Which is the main entrance?	Qual è l’entrata principale?
301	enough	abbastanza	Is there enough sugar?	C’è abbastanza zucchero?
302	plain	semplice	In plain terms	In parole semplici
303	girl	ragazza	Jessica is a nice girl	Jessica è una ragazza carina
304	usual	solito	I’ll take the bus as usual	Prenderò l’autobus come al solito
305	young	giovane	Fred is not young as it seems	Fred non è giovane come sembra
306	ready	pronto	Are you ready to go shopping with me?	Sei pronta per andare a fare shopping come me?
307	above	sopra	Mum, what’s there above the clouds?	Mamma, cosa c’è oltre le nuvole?
308	ever	mai	Have you ever been to London?	Sei mai stato a Londra?
309	red	rosso	I prefer red wine	Preferisco il vino rosso
310	list	lista	Look up again, I’m sure we are on that list	Guardi di nuovo, sono certa che siamo su quella lista
311	though	sebbene	Though it was cold, we went for a walk	Uscimmo a fare una passeggiata sebbene facesse freddo
312	feel	sentire	I feel feverish	Mi sento la febbre
313	talk	parlare	I need to talk to you right now	Devo parlarti immediatamente
314	bird	uccello	In spring birds sing a lot	In primavera gli uccelli cantano molto
315	soon	presto	Soon the spring will arrive	La primavera arriverà presto
316	body	corpo	My body is shivering, I think I have fever	Ho i brividi su tutto il corpo, penso di avere la febbre
317	dog	cane	Jessica will enjoy playing with this dog	Jessica si divertirà a giocare con questo cane
318	family	famiglia	Does your family still leave in Milan?	La tua famiglia vive ancora a Milano?
319	direct	diretto	Be direct with her, she deserves it	Sii diretto con lei, se lo merita
320	pose	posare	Would you like to pose for me?	Ti piacerebbe posare per me?
321	leave	lasciare	I have to leave this city as soon as possible	Devo lasciare questa città il prima possibile
322	song	canzone	Which song did receive more prizes?	Quale canzone ha vinto più premi?
323	measure	misurare	You should measure the window before buying the curtains	Dovresti misurare la finestra prima di comprare le tende
324	state	stato	I didn’t realize you were in such a state	Non avevo realizzato fossi in questo stato
325	product	prodotto	Fred is buying cleaning products	Fred sta comprando prodotti per la pulizia
326	black	nero	Black is actually not a color	In realtà il nero non è un colore
327	short	corto	I need a short rope	Mi serve una corda corta
328	numeral	numerale	Do you know Roman numerals?	Quell’albero sta già fiorendo
329	class	classe	I went to English class yesterday	Sono andata in una class inglese ieri
330	wind	vento	The wind makes me nervous	Il vento mi innervosisce
331	question	domanda	Kids always ask questions	I bambini fanno sempre domande
332	happen	accadere	What is going to happen?	Cosa sta per accadere?
333	complete	completare	Read and complete the exercise	Leggete e completate l’esercizio
334	ship	barca	Fred has bought a new ship	Fred si è comprato una barca nuova
335	area	area	Which is your area of interest?	Qual è la tua area di interesse?
336	half	metà, mezzo	Give me half of your sandwich, please	Dammi metà del tuo panino, per favore
337	rock	roccia	Let’s sweem until that rock	Nuotiamo fino a quella roccia
338	order	ordinare	After playing you are supposed to order the room	Dopo aver giocato dovreste mettere in ordine la stanza
339	fire	fuoco, incendio	There is a fire in the forest	C’è un incendio nella foresta
340	south	sud	We are going south on vacation	Andiamo al sud per le vacanze
341	problem	problema	Is my son causing any problem?	Mio figlio sta causando problemi?
342	piece	pezzo	I’d like to taste a piece of that cake	Vorrei assaggiare un pezzo di quella torta
343	told	passato di tell	My father told me to stay home	Mio padre mi ha detto di stare a casa
344	knew	passato di know	I knew you were about to say that	Sapevo che l’avresti detto
345	pass	passare	Pass me the sugar, please	Passami lo zucchero, per favore
346	farm	fattoria	Fred’s farm is really big	La fattoria di Fred è davvero grande
347	top	cima	The top of the mountain is white	La cima della montagna è bianca
348	whole	tutto	Did you pay the whole ammount?	Hai pagato l’intera somma?
349	king	re	The king is just arrived, hurry up!	Il re è appena arrivato, sbrigatevi!
350	size	dimensione	Do you remember the size of the window?	Ti ricordi le dimensioni della finestra?
351	heard	passato di hear	We heard you were about to divorce	Abbiamo sentito che stavate per divorziare
352	best	migliore	Who is the best singer of the year?	Chi è il miglior cantante dell’anno?
353	hour	ora	I’ll be there in an hour	Sarò lì in un’ora
354	better	meglio	Jessica’s cake is better than mine	La torta di Jessica è migliore della mia
355	TRUE	vero	You should know whether is true or not	Dovresti sapere se è vero o no
356	during	durante	Those facts happend during the war	Quei fatti avvennero durante la guerra
357	hundred	cento	It’s hundred percent love	E’ amore al cento per cento
358	am	sono	I’m the girl you were looking for	Sono la ragazza che stavi cercando
359	remember	ricordare	Remember to call her at 8.00!	Ricordati di chiamarla alle 8.00!
360	step	passo	Step by step we will reach our scope	Raggiungeremo lo scopo passo dopo passo
361	early	presto	Birds sing early in the morning	Gli uccelli cantano al mattino presto
362	hold	tenere	Hold this for a second	Tieni questo un attimo
363	west	ovest	The sun sets in the west	Il sole tramonta a ovest
364	ground	terreno	The ground here is rich in minerals	Qui il terreno è ricco di minerali
365	interest	interesse	Do you have any interest in my colture?	Ti interessa la mia cultura almeno un po’?
366	reach	raggiungere	Hold on and you will reach your scope	Tieni duro e raggiungerai il tuo scopo
367	fast	veloce	If you go that fast we will have an accident	Se vai così veloce avremo un incidente
368	five	cinque	My cousin has five cats	Mia cugina ha cinque gatti
369	sing	cantare	Can you sing my favourite song?	Puoi cantare la mia canzone preferita?
370	listen	ascoltare	You’d better listen what your mother is saying	Dovresti ascoltare ciò che dice tua madre
371	six	sei	I need six eggs	Mi servono sei uova
372	table	tavolo	Put the eggs on the table	Metti le uova sul tavolo
373	travel	viaggio	Fred and Jessica want to travel together	Fred e Jessica vogliono viaggiare insieme
374	less	meno	It takes less than a minute to get there	Ci vuole meno di un minuto per arrivarci
375	morning	mattina	I hate monday morning	Odio il lunedì mattina
376	ten	dieci	My lesson starts at ten o’clock	La mia lezione inizia alle dieci
377	simple	semplice	This cake is pretty simple	Questa torta è piuttosto semplice
378	several	diversi	We have several things to do	Abbiamo diverse cosa da fare
379	vowel	vocale	A is a vowel	La A è una vocale
380	toward	verso	We are heading toward the city centre	Ci stiamo dirigendo verso il centro della città
381	war	guerra	My grandfather died during the war	Mio nonno morì in guerra
382	lay	distendersi, giacere	In summer I like to lay down on the beach	In estate mi spiace stendermi sulla spiaggia
383	against	contro	They won against all prevision	Vinsero contro ogni previsione
384	pattern	modello	That’s not the pattern you should follow	Non è quello il modello che dovresti seguire
385	slow	lento	My motorbike is too slow	La mia moto è troppo lenta
386	center	centro	Our hotel is far from the city center	Il nostro hotel è lontano dal centro
387	love	amare, voler bene	Fred loves Jessica’s sister	Fred ama la sorella di Jessica
388	person	persona	I’m here to meet a person	Sono qui per incontrare una persona
389	money	denaro	Money can solve a lot of problems	I soldi possono risolvere un sacco di problemi
390	serve	servire	It’s time to serve the main course	E’ il momento di servire il piatto principale
391	appear	apparire	The picture appeared in many newspaper	La foto è apparsa su molti giornali
392	road	strada	This road seems like the one where I leave	Questa strada somiglia a quella in cui vivo io
393	map	mappa	I don’t like maps	Non mi piacciono le mappe
394	science	scienza	Science is my favourite subject	La mia materia preferita è scienze
395	rule	regola	If you want to play you need to know the rules	e vuoi giocare devi conoscere le regole
396	govern	governo	The govern is undergoing a bad crisis	Il governo sta vivendo una brutta crisi
397	pull	tirare	Pull it closer to you	Tiralo più vicino a te
398	cold	freddo	This morning the air was cold	Stamattina l’aria era fredda
399	notice	notare	I’ve noticed you are a bit nervous	Ho notato che sei un po’ nervoso
400	voice	voce	Jessica’s voice is so sweet	La voce di Jessica è così dolce
401	fall	cadere	I like when the snow falls on my head	Mi piace quando la neve mi cade sulla testa
402	power	potere	Obama is a man of power	Obama è un uomo di potere
403	town	città	Do you like the town where you live?	Ti piace la città in cui vivi?
404	fine	bene	Fine to me!	Per me va bene!
405	certain	certo	It is certain that Fred will have a promotion	E’ certo che Fred avrà una promozione
406	fly	volare	Jessica flies to NY every week	Jessica vola a NY ogni settimana
407	unit	unità	My brother studies astronomical units	Mio fratello studia le unità astronomiche
408	lead	guidare, condurre	He will lead the investigation	Sarà lui a condurre le indagini
409	cry	piangere	Don’t cry for me, I’ll be fine	Non piangere per me, starò bene
410	dark	scuro	My cousin always wears dark clothes	Mia cugina indossa sempre abiti scuri
411	machine	macchina	For Christmas I’d like to receive a bread machine	Per Natale mi piacerebbe ricevere una macchina per il pane
412	note	nota	Take note of that if you want to remember it	Prendine nota se vuoi ricordartene
413	wait	attendere	Know and wait, somebody will answer	Bussa e aspetta, qualcuno risponderà
